month,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN
09/2014,"335,408.90","13,201.40","313,640.50"
10/2014,"335,000.40","12,990.50","313,372.10"
11/2014,"337,373.60","13,172.30","315,622.70"
12/2014,"352,256.90","13,918.50","329,937.80"
01/2015,"370,037.90","15,555.70","346,024.20"
02/2015,"360,588.80","14,745.50","337,859.40"
03/2015,"370,293.80","14,877.20","347,723.80"
04/2015,"370,370.70","14,341.20","348,475.80"
05/2015,"387,714.90","14,838.60","365,108.30"
06/2015,"391,735.90","14,636.60","369,382.00"
07/2015,"374,253.80","13,555.30","352,990.00"
08/2015,"373,053.50","14,189.70","351,070.60"
09/2015,"383,089.80","14,023.80","361,483.60"
10/2015,"390,509.40","14,716.90","368,072.50"
11/2015,"395,158.60","14,079.90","373,222.50"
12/2015,"370,296.70","13,713.40","348,879.40"
01/2016,"406,190.90","14,997.80","383,393.40"
02/2016,"394,940.20","16,309.90","374,380.50"
03/2016,"377,895.00","15,347.10","358,439.20"
04/2016,"406,763.10","16,340.10","386,199.20"
05/2016,"425,248.20","15,772.40","405,228.30"
06/2016,"438,896.20","17,349.80","417,257.00"
07/2016,"429,161.10","17,360.50","407,583.90"
08/2016,"429,964.20","17,002.60","408,769.90"
09/2016,"431,536.40","16,946.30","410,465.30"
10/2016,"446,332.00","16,653.20","425,508.10"
11/2016,"462,448.70","16,398.00","441,695.50"
12/2016,"478,076.90","16,035.80","457,687.90"
01/2017,"459,850.80","16,051.20","439,634.50"
02/2017,"451,768.40","16,896.40","430,748.50"
03/2017,"441,836.60","16,218.20","421,626.40"
04/2017,"423,403.40","16,212.00","403,231.50"
05/2017,"409,837.30","15,628.10","390,360.20"
06/2017,"414,068.10","15,253.80","394,970.80"
07/2017,"398,126.00","15,202.80","379,219.60"
08/2017,"392,903.70","15,485.30","373,790.70"
09/2017,"406,641.60","15,558.80","387,418.00"
10/2017,"404,153.20","15,411.30","385,122.40"
11/2017,"402,977.20","15,086.60","384,429.90"
12/2017,"394,357.80","14,942.10","376,080.20"
01/2018,"391,618.50","14,817.40","373,558.70"
02/2018,"396,752.40","14,943.50","378,520.30"
03/2018,"407,859.60","14,962.20","389,590.80"
04/2018,"394,801.90","15,193.50","376,267.60"
05/2018,"415,744.20","15,992.30","396,270.50"
06/2018,"407,981.80","15,499.90","388,435.80"
07/2018,"409,120.00","14,991.10","390,207.50"
08/2018,"416,898.50","16,039.00","396,927.60"
09/2018,"414,879.80","16,314.60","394,660.80"
10/2018,"425,644.40","19,238.90","402,182.60"
11/2018,"429,510.70","19,044.20","406,285.50"
12/2018,"439,751.70","19,928.30","415,048.20"
01/2019,"423,682.70","20,385.20","398,519.00"
02/2019,"425,792.10","20,749.60","400,208.50"
03/2019,"433,306.30","20,486.40","407,999.40"
04/2019,"448,068.70","20,353.40","422,754.50"
05/2019,"456,660.00","21,384.30","430,326.20"
06/2019,"439,822.30","38,708.40","396,266.40"
07/2019,"448,683.00","40,492.00","402,764.80"
08/2019,"463,136.10","44,570.50","413,003.60"
09/2019,"483,487.90","43,742.80","434,223.70"
10/2019,"465,343.50","42,273.50","417,728.50"
11/2019,"470,785.80","42,061.60","423,369.00"
12/2019,"487,643.50","42,518.80","439,897.40"
01/2020,"489,270.10","45,321.50","438,623.00"
02/2020,"503,178.70","46,932.00","450,885.10"
03/2020,"501,297.00","48,913.90","446,659.90"
04/2020,"493,503.40","52,663.00","434,727.10"
05/2020,"531,562.40","50,782.80","474,464.00"
06/2020,"513,847.10","51,815.60","455,618.70"
07/2020,"511,679.45","53,952.80","451,537.70"
08/2020,"513,655.20","53,132.50","454,388.30"
09/2020,"539,263.90","53,526.10","478,922.20"
10/2020,"566,212.15","54,558.10","504,678.00"
11/2020,"539,582.90","48,673.00","484,189.90"
12/2020,"579,718.70","52,252.60","520,626.50"
