quarter,new_construction_permits_issued,new_constructions_started,dwellings_in_construction,new_dwellings_completed_total,GDP_nominal_current_prices_mln_PLN,export_goods_and_services_current_prices_mln_PLN,imports_goods_and_services_current_prices,GDP_consumption_mln_PLN,GDP_investments_mln_PLN
Q4Y2017,"60,000.00","45,100.00","758,900.00","54,100.00","560,391.40","281,919.90","266,055.10","393,726.50","150,800.10"
Q1Y2018,"66,600.00","48,000.00","762,200.00","44,600.00","488,230.00","275,811.90","261,324.10","396,598.50","77,143.70"
Q2Y2018,"65,600.00","65,700.00","789,700.00","38,200.00","509,006.00","290,913.10","270,523.30","393,147.10","95,469.10"
Q3Y2018,"61,800.00","60,300.00","803,100.00","47,000.00","526,563.40","292,746.80","277,607.70","406,180.10","105,244.20"
Q4Y2018,"63,600.00","47,900.00","795,700.00","55,300.00","597,755.60","312,505.90","297,547.10","420,103.50","162,693.30"
Q1Y2019,"57,300.00","53,900.00","802,200.00","47,400.00","526,340.70","309,840.80","284,337.00","422,685.20","78,151.70"
Q2Y2019,"72,300.00","61,500.00","816,600.00","47,100.00","553,235.50","313,719.72","287,918.50","421,714.30","105,720.00"
Q3Y2019,"71,800.00","63,100.00","828,400.00","51,200.00","568,172.80","316,311.00","291,126.50","436,290.00","106,698.30"
Q4Y2019,"67,400.00","58,800.00","825,600.00","61,700.00","639,989.30","330,629.50","299,441.90","447,544.00","161,257.70"
Q1Y2020,"59,400.00","52,500.00","828,500.00","49,600.00","556,426.70","319,049.10","287,082.00","445,997.40","78,464.20"
Q2Y2020,"62,900.00","47,400.00","828,200.00","47,700.00","528,177.50","274,448.00","233,651.60","401,331.00","86,050.10"
Q3Y2020,"70,100.00","67,400.00","835,900.00","59,600.00","582,494.90","326,840.00","288,269.70","456,574.80","87,349.80"
