"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NGGWPUS","197704","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197705","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197706","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197707","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197708","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197709","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197710","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197711","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197712","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197713","21097.071","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197801","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197802","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197803","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197804","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197805","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197806","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197807","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197808","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197809","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197810","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197811","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197812","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197813","21308.815","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197901","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197902","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197903","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197904","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197905","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197906","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197907","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197908","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197909","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197910","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197911","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197912","Not Available","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","197913","21883.353","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198001","1960","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198002","1840","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198003","1971","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198004","1806","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198005","1840","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198006","1725","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
"NGGWPUS","198007","1756","1","Natural Gas Gross Withdrawals","Billion Cubic Feet"
